"Row No","Bib No","Tag","Ind","Unmatched Heading","Match %-1","Tag-1","Near Match-1","Authority-1","Match %-2","Tag-2","Near Match-2","Authority-2"
"150","008687480","700","1 ","$a Ramsdell, Roger.","99.5%","100","$a Ramsdell, Roger Wearne","no2001044468","93.8%","400","$a Ramsdell, R. W. $q (Roger Wearne)","no2001044468"
"151","014029051","700","1 ","$a Ranjeet. $4 act","99.5%","100","$a Ranjeet Kumar","nb2012024843","99.5%","400","$a Ranjeet, $d 1937-","no 99028953 "
"152","014029051","700","1 ","$a Raza, Ali. $4 aus","99.5%","100","$a Raza, Ali Musa","n  88631387 ","99.5%","100","$a Raz̤ā, Ātish, $d 1962-","n 2006171069"
"153","012809911","700","1 ","$a Rojas, Omar, $e singer.","99.5%","400","$a Rojas, Omar Jorge Ibarra","ns2014004350","99.5%","400","$a Rojas, Omar Vargas","n  99044442 "
"154","014206438","700","1 ","$a Roy, Michael.","99.5%","100","$a Roy, Michael D.","no2009100637","99.5%","100","$a Roy, Michael Joseph","n  86804666 "
"155","003479760","700","1 ","$a Ruggeri, Piero.","99.5%","100","$a Ruggeri, Piero, $d 1930-2009","n  79002644 ","93.3%","100","$a Ruggeri, Pietro, $d 1797-1858","n 2001037616"
"156","014201663","700","1 ","$a Schneider, Erik, $e editor, $e author.","99.5%","100","$a Schneider, Erik Holmes","no2013115999","99.5%","100","$a Schneider, Erik J. M.","no2011112672"
"157","014226129","700","1 ","$a Schulz, Sabine, $e editor.","99.5%","100","$a Schulz, Sabine Friederike","no2010179282","99.5%","100","$a Schulz, Sabine, $d 1956-","n  85303243 "
"158","014207231","700","1 ","$a Schütz, Erhard, $e author of afterword, colophon, etc.","99.5%","100","$a Schütz, Erhard H., $d 1946-","n  81043652 ","99.5%","400","$a Schütz, Erhard, $d 1946-","n  81043652 "
"159","014226194","700","1 ","$a Sekulow, Jordan, $e author.","99.5%","100","$a Sekulow, Jordan, $d 1982-","no2014148988","87.5%","100","$a Sekulovski, Jordanco, $d 1979-","n 2014072311"
"160","011887936","700","1 ","$a Sidorova, A.","99.5%","100","$a Sidorova, A. A.","n 2013045396","99.5%","100","$a Sidorova, A. T.","nr 90004940 "
"161","014091498","700","1 ","$a Silva, Ana.","99.5%","100","$a Silva, Ana Alexandra Lázaro Vieira da, $d 1973-","nb2014014975","99.5%","100","$a Silva, Ana Carolina Feracin da","no2003015410"
"162","014239829","700","1 ","$a Singh, Pramod, $e editor.","99.5%","100","$a Singh, Pramod K.","n 2006214660","99.5%","100","$a Singh, Pramod, $d 1954-","n  85210568 "
"163","012559296","700","1 ","$a Sokolova, E. S.","99.5%","100","$a Sokolova, E. S. $q (Elena Sergeevna), $d 1927-1983","no 92030803 ","93.3%","100","$a Sokolova, Ė. S. $q (Ėmilii͡a Semenovna)","n  95087361 "
"164","014250380","700","1 ","$a Steen, Richard, $e author.","99.5%","100","$a Steen, Richard H.","n  95044959 ","86.7%","100","$a Steen, Ricardo Van","no2009168176"
"165","014225105","700","1 ","$a Steiner, Urs, $e editor.","99.5%","100","$a Steiner, Urs, $d 1959-","n  93012542 ","99.5%","100","$a Steiner, Urs, $d 1968-","n  99009267 "
"166","013788318","700","1 ","$a Stout, William, $e correspondent.","99.5%","100","$a Stout, William A.","n 2007033561","99.5%","100","$a Stout, William, $d 1949-","n  81025156 "
"167","014103657","700","1 ","$a Sugumaran, M., $e author.","99.5%","400","$a Sugumaran, M., $d 1943-","n  82059214 ","85.7%","100","$a Sugumaran, Manickam","n  00009065 "
"168","014154321","700","1 ","$a Tashpolat, Tiyip.","99.5%","100","$a Tashpolat, Tiyip, $d 1958-","n 2011025862","94.1%","400","$a Tashpolat Tiyip, $d 1958-","n 2011025862"
"169","014239863","700","1 ","$a Thakur, Dinesh, $e author.","99.5%","100","$a Thakur, Dinesh S., $d 1961-","n 2004003301","93.3%","100","$a Thakur, Dinesh $c (Writer on public administration)","no2013063211"
"170","013924306","700","1 ","$a Tiwari, Anand, $e actor.","99.5%","400","$a Tiwari, Anand Mohan, $d 1963-","no2002029556","92.9%","100","$a Tiwari, A. P. $q (Akhilanand Pati)","nb2012023842"
"171","003626013","700","1 ","$a Trelawny, Edward.","99.5%","100","$a Trelawny, Edward John, $d 1792-1881","n  50011633 ","99.5%","100","$a Trelawny, Edward, $d 1699-1754","no 90019620 "
"172","014220557","700","1 ","$a Watts, Richard.","99.5%","100","$a Watts, Richard A.","n  84210029 ","99.5%","100","$a Watts, Richard, $d active 1816-1844","no2014153364"
"173","014220547","700","1 ","$a Zimmer, Jürgen.","99.5%","100","$a Zimmer, Jürgen, $d 1937-","nr 90015391 ","99.5%","100","$a Zimmer, Jürgen, $d 1938-","n  82255734 "
"174","014239825","700","1 ","$a d'Amato, Claudia, $e editor.","99.5%","100","$a d'Amato, Claudia, $d 1977-","n 2012004496","88.2%","100","$a D'Amato, Claudio","n  80075389 "
"175","012621179","110","1 ","$a Brazil.","99.5%","110","$a Brazil. $b 1o. Distrito--Hidrologia","n  81128812 ","99.5%","110","$a Brazil. $b Yellow Fever Service","n  98010077 "
"176","014238655","110","2 ","$a Mazel.","99.5%","100","$a Mazel, Abraham, $d 1675-1710","no2002060995","99.5%","100","$a Mazel, Claire","no2009134426"
"177","014252609","710","2 ","$a Azrieli.","99.5%","110","$a Azrieli Foundation","no2008064961","99.5%","110","$a Azrieli Graduate School of Jewish Education and Administration","no2010094325"
"178","014207192","710","2 ","$a Berliner Zeitung, $e issuing body.","99.5%","130","$a Berliner Zeitung (Berlin, Germany : East)","n  83228556 ","94.1%","111","$a Berliner Zeitungskonferenz","n 2011071356"
"179","014235355","710","2 ","$a CLOUT.","99.5%","150","$a Clout, Colin (Fictitious character)","sh 86005100 ","99.5%","100","$a Clout-Kruse, Joan","n 2002096209"
"180","002212776","710","2 ","$a Congressional Union for Woman Suffrage.","99.5%","110","$a Congressional Union for Woman Suffrage (U.S.)","n  85372409 ","99.5%","410","$w nnaa $a Congressional Union for Woman Suffrage, Washington, D.C.","n  85372409 "
"181","014266391","710","2 ","$a Criterion Theatre (New York, N.Y.)","99.5%","110","$a Criterion Theatre (New York, N.Y.)","sh2009004567","91.2%","110","$a Criterion Theatre (Organization : New York, N.Y.)","n 2011056140"
"182","013529007","710","2 ","$a Culinary Historians of New York.","99.5%","110","$a Culinary Historians of New York (Organization)","no2014056827","99.5%","410","$a Culinary Historians of New York, Inc.","no2014056827"
"183","014146008","710","2 ","$a Friedrich.","99.5%","410","$a Friedrich & Bro.","no2009103140","99.5%","100","$a Friedrich, Ádám","n  85195154 "
"184","014242937","710","2 ","$a Instytut Badań Literackich. $4 pbl","99.5%","110","$a Instytut Badań Literackich (Poland)","n  82151329 ","99.5%","410","$a Instytut Badań Literackich PAN","n  80041008 "
"185","009593774","710","2 ","$a Kırım Türkleri Kültür ve Yardımlaşma Derneği.","99.5%","110","$a Kırım Türkleri Kültür ve Yardımlaşma Derneği Genel Merkezi","no 99065476 ","99.5%","130","$a Kırım Türkleri Kültür ve Yardımlaşma Derneği Genel Merkezi yayınları","no 99065482 "
"186","014268840","710","2 ","$a Living Traditions.","99.5%","130","$a Living traditions of India","n  86732784 ","88.9%","130","$a Living tradition","no2004049772"
"187","014262874","710","2 ","$a Massachusetts. $b Committee on Public Safety.","99.5%","110","$a Massachusetts. $b Committee on Public Safety (1940-1945)","no 96001446 ","99.5%","410","$a Massachusetts. $b Committee on Public Safety. $b Women's Defense Corps","n 2012042211"
"188","014208852","710","2 ","$a Morris Museum of Art, $e host institution.","99.5%","110","$a Morris Museum of Art (Augusta, Ga.)","n  92074821 ","95.2%","110","$a Morris Museum of Arts and Sciences","n  80060827 "
"189","001714992","710","1 ","$a New Hampshire. $b Court of Common Pleas.","99.5%","110","$a New Hampshire. $b Court of Common Pleas (Grafton County)","n 2005061563","99.5%","110","$a New Hampshire. $b Court of Common Pleas (Rockingham County)","n  91117269 "
"190","009011661","710","2 ","$a Saint James' Theatre (London, England)","99.5%","110","$a Saint James' Theatre (London, England)","sh2004003288","94.7%","110","$a Saint James' Theatre (Organization : London, England)","no2011043124"
"191","003037924","710","2 ","$a Texas Woman.","99.5%","110","$a Texas Woman's College","no 95055162 ","99.5%","110","$a Texas Woman's University. $b College of Nutrition, Textiles, and Human Development","n  81006860 "
"192","011384069","710","2 ","$a Travel.","99.5%","110","$a Travel & Tourism Intelligence (Firm)","no 96057018 ","99.5%","110","$a Travel & Tourist Association of Southeast Michigan","n  85081911 "
"193","014253448","710","2 ","$a Winter Garden Theatre (New York, N.Y. : 1634 Broadway)","99.5%","110","$a Winter Garden Theatre (New York, N.Y. : 1634 Broadway)","sh2012001173","85.2%","110","$a Winter Garden Theatre (New York, N.Y. : 624 Broadway)","sh2012001169"
"194","014161218","710","2 ","$a Wonder, $e publisher.","99.5%","110","$a Wonder Band","n  91034235 ","99.5%","110","$a Wonder-Accordeons","no2005093563"
"195","014141877","710","2 ","$a Wydawnictwo M. $4 pbl","99.5%","110","$a Wydawnictwo ""Meritum""","n 2001041232","92.9%","110","$a Wydawnictwo Morskie","no2006127337"
"196","014155909","730","0 ","$a Acta Juridica.","99.5%","430","$a Acta juridica et politica","n 2004097656","99.5%","430","$w nna $a Acta juridica et politica","n  42001077 "
"197","014239605","730","0 ","$a Azhar.","99.5%","100","$a Azhar, A. K. M. $q (Abdul Karim M.)","nr 99002446 ","99.5%","110","$a Azhar. $b Lajnah al-ʻUlyā lil-Daʻwah al-Islāmīyah. $b Amānah al-ʻĀmmah","n  88250157 "
"198","014253229, 014253235","730","0 ","$a Dawḥah.","99.5%","151","$a Dawḥah (Qatar)","n  81076793 ","99.5%","151","$a Dawḥah Harbor (Qatar)","sh 88003580 "
"199","014247764","730","0 ","$a Euromoney.","99.5%","130","$a Euromoney books","no 93024162 ","99.5%","130","$a Euromoney-DC Gardner workbooks","no2011110584"
"200","014240595","730","0 ","$a Muṣawwar.","99.5%","400","$a Muṣawwar Abū al-Anwār, $d 1933-","n  84080923 ","90.0%","130","$a Muṣawwarāt Majmaʻ al-Lughah al-ʻArabīyah bi-Dimashq","no2007108232"
"201","014211326","730","0 ","$a Saveur.","99.5%","130","$a Saveur nature","no2001007014","99.5%","100","$a Saveur, J. $q (Jan)","no2003081648"
"202","014102126","730","0 ","$a Thoracic surgery.","99.5%","110","$a Thoracic Surgery Residents Association","n 2012183302","99.5%","411","$a Thoracic Surgery, Frederick E. Jones Memorial Symposium in","n  78055786 "
"203","014249969","730","0 ","$a Vie de saint Alexis.","99.5%","130","$a Vie de saint Alexis. $l English & Old French","n  97120158 ","99.5%","130","$a Vie de saint Alexis. $l Spanish","n  97120153 "
"204","014145848","600","10","$a Albertine, Viv.","99.5%","100","$a Albertine, Viv, $d 1954-","n 2014046035","93.3%","400","$a Albertine, Viviane Katrina Louise","n 2014046035"
"205","013946596","600","10","$a Aram, Assad.","99.5%","400","$a Aram, Assad N.","n 2006042139","99.5%","100","$a Ārām, Asad","n 2006042139"
"206","003626013","600","10","$a Ayscough, John.","99.5%","100","$a Ayscough, John, $d 1858-1928","n  90716441 ","99.5%","100","$a Ayscough, John, $d 1964-","nb2014023916"
"207","014226170","600","10","$a Ferrando, Josep.","99.5%","100","$a Ferrando, Josep M.","no2010077266","99.5%","400","$a Ferrando, Josep Martí","no2003016812"
"208","014253254","600","10","$a Gloeden, Wilhelm von.","99.5%","100","$a Gloeden, Wilhelm von, $c Baron, $d 1856-1931","n  81058618 ","95.2%","400","$w nnaa $a Gloeden, Wilhelm, $c Baron von, $d 1856-1931","n  81058618 "
"209","014239394","600","10","$a Nikolić, Marko.","99.5%","100","$a Nikolić, Marko, $d 1946-","no2012117319","99.5%","100","$a Nikolić, Marko, $d 1975-","n 2011053469"
"210","010236418","600","10","$a Raparo, Giovanni.","99.5%","100","$a Raparo, Giovanni, $d active 1436","n 2010024815","99.5%","400","$w nnea $a Raparo, Giovanni, $d fl. 1436","n 2010024815"
"211","014252222","600","10","$a Rhoads, Mary.","99.5%","100","$a Rhoads, Mary E. G.","n  83125092 ","99.5%","100","$a Rhoads, Mary L.","n  82215066 "
"212","014250193","600","10","$a Shaw, Katherine.","99.5%","400","$a Shaw, Katherine Elizabeth, $d -1881","n 2001058704","87.5%","100","$a Shaw, Katharine Elizabeth, $d 1909-1986","no2002027077"
"213","014261519","600","10","$a Smith, Etta.","99.5%","400","$a Smith, Etta Bell, $d 1884-1977","n 2008162478","99.5%","400","$a Smith, Etta Mae, $d 1915-","n  84105579 "
"214","014207872","600","14","$a Gombrich, Ernst Hans, $d 1909-2001.","99.5%","100","$a Gombrich, E. H. $q (Ernst Hans), $d 1909-2001","n  80046790 ","99.5%","400","$a Gombrich, Ernst H. $q (Ernst Hans), $d 1909-2001","n  80046790 "
"215","013945823","600","04","$a Thomas Becket.","99.5%","400","$a Thomas, $c Becket, Saint, $d 1118?-1170","n  80036571 ","85.7%","100","$a Thomas, Becky, $d 1916-","n  85340004 "
"216","014218180","610","20","$a Catholic Church. $b Pope (1978-2005 : John Paul II). $t Ecclesia in Africa.","99.5%","110","$a Catholic Church. $b Pope (1978-2005 : John Paul II). $t Ecclesia in Africa. $l English","n 2005086254","95.8%","110","$a Catholic Church. $b Pope (1978-2005 : John Paul II) $t Ecclesia in America. $l English","n 2005086717"
"217","013109877","610","20","$a Organization of American States. General Secretariat.","99.5%","110","$a Organization of American States. $b General Secretariat","n  79118116 ","99.5%","410","$a Organization of American States. $b General Secretariat. $b Department of Cultural Affairs","n  81071519 "
"218","008551154","610","10","$a Quebec (Province). $t Civil code of Québec.","99.5%","410","$a Québec (Province). $t Civil Code of the Province of Québec","n  83014844 ","97.6%","410","$w nne $a Québec (Province). $t Civil Code of Québec (1991)","n  93109133 "
"219","012872053","610","20","$a United States. National Aeronautics and Space Administration.","99.5%","110","$a United States. $b National Aeronautics and Space Administration","n  78087581 ","99.5%","110","$a United States. $b National Aeronautics and Space Administration. $b Advanced Life Support Office","n  85166034 "
"220","013109877","610","20","$a United States. Office of the Coordinator of Inter-American Affairs.","99.5%","110","$a United States. $b Office of the Coordinator of Inter-American Affairs","n  88027982 ","99.5%","110","$a United States. $b Office of the Coordinator of Inter-American Affairs. $b Press Division","no2008139753"
"221","013925497","610","24","$a Bloomsbury group.","99.5%","130","$a Bloomsbury Group (Series)","no2011053271","94.1%","150","$a Bloomsbury group","sh 85015043 "
"222","014146383","630","00","$a Economist (London, England : 1843)","99.5%","430","$a Economist (London, England : 1843). $p Economist books","n  84724084 ","99.5%","430","$a Economist (London, England : 1843). $p Economist series","n 2003095293"
"223","014240932","630","00","$a Srbobran.","99.5%","130","$a Srbobran (Zagreb, Croatia)","no 93034938 ","99.5%","151","$a Srbobran (Serbia)","n 2007086242"
"224","014249969","630","00","$a Vie de saint Alexis.","99.5%","130","$a Vie de saint Alexis. $l English & Old French","n  97120158 ","99.5%","130","$a Vie de saint Alexis. $l Spanish","n  97120153 "
"225","013483260","650"," 0","$a Actors and actresses.","99.5%","410","$a Actors and Actresses (Musical group)","no2012030873","99.5%","411","$a Actors and Actresses, Symposium for","n  79029946 "
"226","014239792, 014239793, 014239823","650"," 0","$a Biometrics.","99.5%","450","$a Biometrics (Biology)","sh 85014244 ","99.5%","450","$a Biometrics (Identification)","sh2001010964"
"227","013835988","650"," 0","$a Björk.","99.5%","100","$a Björk Bjarkadóttir, $d 1971-","no2010205262","99.5%","100","$a Björk-Åman, Camilla, $d 1975-","no2014053316"
"228","014239754, 014239755, 014239761, 014239762, 014239763, and 24 other records affected also.","650"," 0","$a Computer Communication Networks.","99.5%","430","$a Computer communication networks and telecommunications","no2007043052","96.9%","130","$a Computer communications and networks","n  00009315 "
"229","014238302","650"," 0","$a Cruise missile.","99.5%","150","$a Cruise missile defenses","sh 98001533 ","93.3%","150","$a Cruise missiles","sh 85034367 "
"230","012816513, 012816820, 012945864, 012945867","650"," 0","$a Directors.","99.5%","450","$a Directors and officers insurance","sh 86007066 ","99.5%","450","$a Directors and officers liability insurance","sh 86007066 "
"231","014246469","650","00","$a Drug discovery.","99.5%","111","$a Drug Discovery and Development Symposium","n  94044011 ","99.5%","130","$a Drug discovery today publications","n 2003145008"
"232","012816513, 012816820, 012945864, 012945867","650"," 0","$a Filmmaking.","99.5%","450","$a Filmmaking (Motion pictures)","sh 85088096 ","99.5%","450","$a Filmmaking (Motion pictures)","sh 85088030 "
"233","014239723, 014239724, 014239734, 014239735","650"," 0","$a Food science.","99.5%","110","$a Food Science and Nutrition Network for Africa","no2003122350","99.5%","110","$a Food Science and Technology Continuing Education Program (U.S.)","n  87143908 "
"234","014239886","650"," 0","$a Global analysis.","99.5%","150","$a Global analysis (Mathematics) $v Congresses","sh2008118191","99.5%","150","$a Global analysis (Mathematics)","sh 85055284 "
"235","013109877","650"," 0","$a Harvest.","99.5%","110","$a Harvest (Bark : 1824-1861)","n 2006164992","99.5%","130","$a Harvest book","n  42012403 "
"236","014239995","650"," 0","$a Hilbert spaces.","99.5%","450","$a Hilbert spaces, Stochastic differential equations in","sh 87001697 ","86.7%","150","$a Hilbert space","sh 85060803 "
"237","014239758, 014239764, 014239767, 014239781, 014239795, and 3 other records affected also.","650"," 0","$a Information Systems.","99.5%","111","$a Information systems & grid technologies $n (4th : $d 2010 : $c Sofia, Bulgaria)","n 2013039628","99.5%","110","$a Information Systems and Marketing Contacts (Firm : Bratislava, Slovakia)","no 92019290 "
"238","014215666, 014239750, 014239756, 014239759, 014239761, and 8 other records affected also.","650"," 0","$a Information systems.","99.5%","111","$a Information systems & grid technologies $n (4th : $d 2010 : $c Sofia, Bulgaria)","n 2013039628","99.5%","110","$a Information Systems and Marketing Contacts (Firm : Bratislava, Slovakia)","no 92019290 "
"239","012846499","650"," 0","$a Mardi Gras.","99.5%","450","$a Mardi Gras (Festival)","sh 85020377 ","99.5%","111","$a Mardi Gras Party $c (Sydney, N.S.W.)","no2005002275"
"240","012323722","650"," 0","$a Marshall Plan.","99.5%","110","$a Marshall Plan Technical Assistance Program (U.S.)","n  84162818 ","99.5%","410","$w nnaa $a Marshall Plan, 1948-1952","n  85229815 "
"241","014242586, 014246509","650","00","$a Twitter.","99.5%","110","$a Twitter (Firm)","n 2009037432","99.5%","430","$a Twitter Storm (Electronic resource)","no2012126170"
"242","014240540","650"," 0","$a Variants.","99.5%","450","$a Variants, Hemoglobin","sh 85060201 ","99.5%","430","$a Variants (Choreographic work : Balanchine)","n  97824031 "
"243","014239882","650","24","$a Actuarial Sciences.","99.5%","110","$a Actuarial Sciences Associates","n  95033236 ","89.5%","150","$a Actuarial science","sh2008005723"
"244","014239866, 014239881, 014239890","650","24","$a Applications of Mathematics.","99.5%","130","$a Applications of mathematics series","n  89607056 ","99.5%","411","$a ""Applications of Mathematics in Engineering and Economics"", International Conference","no2008024530"
"245","014239792, 014239793, 014239823","650","24","$a Biometrics.","99.5%","450","$a Biometrics (Biology)","sh 85014244 ","99.5%","450","$a Biometrics (Identification)","sh2001010964"
"246","014239728","650","24","$a Carbohydrate Chemistry.","99.5%","130","$a Carbohydrate chemistry: proven synthetic methods","no2012040247","99.5%","411","$a Carbohydrate Chemistry Symposium, ACS Computational","no2006092415"
"247","014239883","650","24","$a Complex Systems.","99.5%","130","$a Complex systems and interdisciplinary science","no2007088956","99.5%","111","$a Complex Systems Summer School","n  88294402 "
"248","014239750, 014239754, 014239791, 014239795, 014239796, and 5 other records affected also.","650","24","$a Computer Applications.","99.5%","110","$a Computer Applications and Methods Group","no2012093022","99.5%","130","$a Computer applications book","n  83715602 "
"249","014239754, 014239755, 014239761, 014239762, 014239763, and 24 other records affected also.","650","24","$a Computer Communication Networks.","99.5%","430","$a Computer communication networks and telecommunications","no2007043052","96.9%","130","$a Computer communications and networks","n  00009315 "
"250","014239775","650","24","$a Computers and Education.","99.5%","130","$a Computers and education series","n  84745397 ","95.8%","130","$a Computers and education","n  84716100 "
"251","014239729","650","24","$a Condensed Matter Physics.","99.5%","411","$a ""Condensed Matter Physics with Neutrons at IBR-2 Pulsed Reactor"", Germany-JINR User Meeting","n 2007040523","99.5%","411","$a Condensed Matter Physics, International School on","n  82143567 "
"252","014239766, 014239794, 014239801, 014239809, 014239816, and 2 other records affected also.","650","24","$a Data Encryption.","99.5%","150","$a Data encryption (Computer science) $v Congresses","sh2008102033","99.5%","150","$a Data encryption (Computer science)","sh 94001524 "
"253","014239753, 014239766, 014239770, 014239778, 014239786, and 14 other records affected also.","650","24","$a Data Mining and Knowledge Discovery.","99.5%","130","$a Data mining and knowledge discovery. $p Special issue","n  00001103 ","99.5%","430","$a Data mining and knowledge discovery series","no2007060486"
"254","014239817","650","24","$a Data Structures.","99.5%","150","$a Data structures (Computer science) $v Congresses","sh2009122874","99.5%","150","$a Data structures (Computer science)","sh 85035862 "
"255","014239818","650","24","$a Energy Economics.","99.5%","130","$a Energy economics and policy","no 96066666 ","99.5%","110","$a Energy Economics Research Limited","n  79131401 "
"256","014239732, 014239798","650","24","$a Energy Technology.","99.5%","130","$a Energy technology analysis","no2005010289","99.5%","111","$a Energy Technology Conference (1974- )","n  79139403 "
"257","014239798","650","24","$a Environmental Physics.","99.5%","411","$a Environmental Physics and Atmospheric Boundary Layer, Symposium on","n  83161290 ","95.5%","110","$a Environmental Physiology/Biophysics Laboratory (Lyndon B. Johnson Space Center)","no 95042476 "
"258","014239723, 014239724, 014239734, 014239735","650","24","$a Food Science.","99.5%","110","$a Food Science and Nutrition Network for Africa","no2003122350","99.5%","110","$a Food Science and Technology Continuing Education Program (U.S.)","n  87143908 "
"259","014243779","650"," 4","$a Foreign.","99.5%","150","$a Foreign accent","sh 85050489 ","99.5%","450","$a Foreign affairs","sh 85067435 "
"260","014239737","650","24","$a History of Science.","99.5%","110","$a History of Science & Technology Working Party","n  88175626 ","99.5%","130","$a History of science and technology","n  92063394 "
"261","013638337","650"," 4","$a Human Development.","99.5%","110","$a Human Development & Training Institute of New Zealand","no2010127440","99.5%","110","$a Human Development Centre (Islāmābād, Pakistan)","no 98000086 "
"262","013332405","650"," 4","$a Liver diseases.","99.5%","150","$a Liver $x Diseases","sh 85077755 ","99.5%","150","$a Liver diseases in pregnancy","sh 96004019 "
"263","014239736","650","24","$a Materials Engineering.","99.5%","110","$a Materials Engineering and Research Laboratory (U.S.)","no 95032487 ","99.5%","110","$a Materials Engineering Institute","n 2002015510"
"264","014239750","650","24","$a Media Design.","99.5%","110","$a Media Design Associates","n  85323266 ","99.5%","110","$a Media Design Studio","n  79057779 "
"265","014239728","650","24","$a Molecular Medicine.","99.5%","130","$a Molecular medicine (Oxford, England)","n  86723688 ","99.5%","110","$a Molecular Medicine Society","no 97051893 "
"266","014233118","650"," 4","$a Negros.","99.5%","450","$a Negros Congos (Panamanian people)","sh2011005754","99.5%","100","$a Negros, Geōrgios, $d 1807-1851","n 2012064546"
"267","014239814","650","24","$a Operating Systems.","99.5%","150","$a Operating systems (Computers) $v Congresses","sh2010104443","99.5%","150","$a Operating systems (Computers)","sh 85094982 "
"268","014239757, 014239789, 014239857, 014239858, 014239869, and 1 other records affected also.","650","24","$a Optimization.","99.5%","450","$a Optimization, Combinatorial","sh 85028809 ","99.5%","450","$a Optimization, Constrained","sh2007000008"
"269","014239725, 014239739, 014239742","650","24","$a Pharmacology/Toxicology.","99.5%","110","$a Pharmacology-Toxicology Program (National Institute of General Medical Sciences)","n  80079343 ","99.5%","430","$a Pharmacology/toxicology series","n  88525784 "
"270","013705169","650"," 4","$a Physical examination.","99.5%","450","$a Physical examination of air pilots","sh 85002676 ","99.5%","450","$a Physical examination of iron and steel workers","sh 85068169 "
"271","014239849","650","24","$a Potential Theory.","99.5%","150","$a Potential theory (Mathematics) $v Congresses","sh2010107885","99.5%","150","$a Potential theory (Physics)","sh 89005116 "
"272","014239731","650","24","$a Protein Science.","99.5%","130","$a Protein science and engineering","n 2010183645","99.5%","130","$a Protein science series","no2009082292"
"273","014239852","650","24","$a Quantitative Finance.","99.5%","130","$a Quantitative finance series","no2001010280","85.7%","130","$a Quantitative Finanzwirtschaft","n 2005021345"
"274","014164013","650","04","$a Religious art.","99.5%","450","$a Religious art objects","sh 85112608 ","99.5%","450","$a Religious art, Christian","sh 85025011 "
"275","014051193","650","04","$a Russian Church.","99.5%","450","$a Russian Church Slavic language","sh 85025760 ","99.5%","410","$a Russian Church (Bari, Italy)","no2009039132"
"276","014239859","650","24","$a Theoretical and Applied Mechanics.","99.5%","110","$a Theoretical and Applied Mechanics Society (Singapore)","no2010085661","99.5%","411","$a Theoretical and Applied Mechanics, National Conference on","n  79010446 "
"277","014239731, 014239738, 014239748","650","24","$a Theoretical and Computational Chemistry.","99.5%","411","$a Theoretical and Computational Chemistry Conference, Worldwide Chinese","no2004066585","97.5%","130","$a Theoretical and computational chemistry","n  94082161 "
"278","014239797","650","24","$a Urbanism.","99.5%","430","$a Urbanism fascicles OSA","no2010010270","99.5%","430","$a Urbanism fascicles series","no2010010270"
"279","010307142","650","04","$a Vrouwen.","99.5%","130","$a Vrouwen doen het woord","n  86744455 ","99.5%","110","$a Vrouwen Kleinkoor ""Orpheus""","n  95121705 "
"280","013381867","651"," 0","$a Haight-Ashbury (San Francisco)","99.5%","151","$a Haight-Ashbury (San Francisco, Calif.)","n  97020735 ","96.7%","110","$a Haight-Ashbury Drug Detox Clinic (San Francisco, Calif.)","n  85305530 "
"281","013785087","651"," 0","$a maranhao braz.","99.5%","110","$a Maranhão (Brazil). $b Assembléia Legislativa","n  78000946 ","99.5%","110","$a Maranhão (Brazil). $b Assessoria de Programação Orçamentária","n  82162671 "
"282","007759469","651"," 4","$a New York.","99.5%","110","$a New York & Bermudez Company","n  93093362 ","99.5%","110","$a New York & Honduras Rosario Mining Company","no2007042433"
"283","014250130","830"," 0","$a Art of living.","99.5%","130","$a Art of living (Editorial Kairós). $l Spanish","no2009178872","99.5%","130","$a Art of living series (Acumen Publishing)","no2008117239"
"284","014247163","830"," 0","$a Assimil.","99.5%","130","$a ""Assimil"" method books","n  83732510 ","99.5%","130","$a ASSiMiL taalpocket","nr 99014858 "
"285","014237063","830"," 0","$a Centro studi antoniani ; $v 55.","99.5%","130","$a Centro studi antoniani (Series)","n  91023222 ","99.5%","110","$a Centro studi antoniani (Padua, Italy)","n  85001101 "
"286","014208076","830"," 0","$a Collection Textuelles.","99.5%","130","$a Collection Textuelles. $p Littérature","no2003101899","99.5%","130","$a Collection Textuelles. $p Théâtre","no2004012510"
"287","014242999","830"," 0","$a Documents.","99.5%","130","$a Documents & méthodes (Inventaire général des monuments et des richesses artistiques de la France)","n  94099417 ","99.5%","130","$a Documents, actes et rapports pour l'éducation","no 96064004 "
"288","014129546","830"," 0","$a Fibula ; $v 6.","99.5%","130","$a Fibula (Series)","no2012045315","99.5%","450","$w nne $a Fibula (Archaeology)","sh 85048042 "
"289","014225221","830"," 0","$a Geschichte.","99.5%","130","$a Geschichte & Kultur. $p Saarbrücker Reihe","no2012126856","99.5%","130","$a Geschichte am See","n  94038303 "
"290","014168445","830"," 0","$a Hellenica ; $v 48.","99.5%","130","$a Hellenica (Alessandria, Italy)","no 99068574 ","99.5%","130","$a Hellenica (Paris, France)","no2008027081"
"291","014239849, 014239850, 014239851","830"," 0","$a Lecture Notes in Mathematics ; $v 2118.","99.5%","130","$a Lecture notes in mathematics & computer science","n  97047743 ","99.5%","130","$a Lecture notes in mathematics (Springer-Verlag). $p History of mathematics subseries","no2011077769"
"292","014241123","830"," 0","$a Manuali universitari ; $v 155.","99.5%","130","$a Manuali universitari (Rome, Italy). $p Archeologia","no2009046681","99.5%","130","$a Manuali universitari (Rome, Italy). $p Storia","nr2006009538"
