"Row No","Bib No","Tag","Ind","Unmatched Heading","Match %-1","Tag-1","Near Match-1","Authority-1","Match %-2","Tag-2","Near Match-2","Authority-2"
"47","006516587","100","1 ","$a Pimenova, Ė. $q (Ėmilii︠a︡), $e comp.","99.5%","100","$a Pimenova, Ė. $q (Ėmilii︠a︡), $d 1855-","nr 93025071 ","99.5%","400","$w nnea $a Pimenova, Ė. $q (Ėmilii︠a︡), $d b. 1855","nr 93025071 "
"48","014240966","100","1 ","$a Porteous, James, $e composer.","99.5%","100","$a Porteous, James A. A. $q (James Archibald Asbury)","nb2006019356","99.5%","100","$a Porteous, James Moir, $d 1822-1891","nb 99030903 "
"49","014248927","100","1 ","$a Porter, Michael E., $e author.","99.5%","100","$a Porter, Michael E., $d 1947-","n  79123683 ","94.7%","100","$a Porter, Michael E. $q (Michael Escue), $d 1942-","n  85831132 "
"50","014239857, 014239858","100","1 ","$a Rassias, Themistocles M., $e editor.","99.5%","100","$a Rassias, Themistocles M., $d 1951-","n  81145441 ","92.0%","400","$a Rassias, Th. M. $q (Themistocles M.), $d 1951-","n  81145441 "
"51","014239760","100","1 ","$a Ribeiro, Márcio, $e author.","99.5%","100","$a Ribeiro, Márcio Friedrich","n 2008216272","99.5%","100","$a Ribeiro, Márcio, $d 1910-1995","n 2007206777"
"52","008165955","100","1 ","$a Rossetti, Andrea, $e author.","99.5%","100","$a Rossetti, Andrea O.","n 2009181958","99.5%","100","$a Rossetti, Andrea, $d 1967-","no2014124400"
"53","014246490","100","1 ","$a Rossi, John. $4 spk","99.5%","100","$a Rossi, John Carmen","no 93007065 ","99.5%","100","$a Rossi, John, $d 1955-","n  91010308 "
"54","006465451","100","1 ","$a Roudebush, George Shotwell.","99.5%","400","$a Roudebush, George Shotwell, $d 1828-1921","no 96057881 ","96.3%","100","$a Roudebush, G. S. $q (George Shotwell), $d 1828-1921","no 96057881 "
"55","014242465","100","1 ","$a S., M., $e composer.","99.5%","100","$a S., M. A., $c Rev.","nr 99018550 ","99.5%","100","$a S., M. A., $d 1950-","nr2005011954"
"56","014166537","100","1 ","$a Salvador, Jean-Louis.","99.5%","400","$a Salvador, Jean-Louis, $d 1955-","nb2009027013","95.2%","100","$a Salvador, J.-L. $q (Jean-Louis), $d 1955-","nb2009027013"
"57","014239646","100","1 ","$a Schaffer, Bernard.","99.5%","100","$a Schaffer, Bernard, $d 1925-1984","n  50020384 ","94.4%","100","$a Schaffer, Bernhard","n  95092714 "
"58","002341169","100","1 ","$a Schaw, Janet.","99.5%","100","$a Schaw, Janet, $d approximately 1731-approximately 1801","no2002034993","99.5%","400","$w nnea $a Schaw, Janet, $d ca. 1731-ca. 1801","no2002034993"
"59","014248917","100","1 ","$a Sebenius, James K., $e author.","99.5%","100","$a Sebenius, James K., $d 1953-","n  83164469 ","89.5%","400","$a Sebenius, J. K. $q (James K.), $d 1953-","n  83164469 "
"60","014239728","100","1 ","$a Seeberger, Peter H., $e editor.","99.5%","100","$a Seeberger, Peter H., $d 1966-","n 2001000069","90.0%","400","$a Seeberger, P. H. $q (Peter H.), $d 1966-","n 2001000069"
"61","014253521","100","1 ","$a Serebro, Vladimir, $e author.","99.5%","400","$a Serebrov, V. $q (Vladimir)","no2011003125","99.5%","400","$a Serebro, Vladimir Semenovich","no 99007435 "
"62","014250193","100","1 ","$a Shaw, Katherine.","99.5%","400","$a Shaw, Katherine Elizabeth, $d -1881","n 2001058704","87.5%","100","$a Shaw, Katharine Elizabeth, $d 1909-1986","no2002027077"
"63","014261519","100","1 ","$a Smith, Etta.","99.5%","400","$a Smith, Etta Bell, $d 1884-1977","n 2008162478","99.5%","400","$a Smith, Etta Mae, $d 1915-","n  84105579 "
"64","011751902","100","1 ","$a Spataro, Roberto.","99.5%","100","$a Spataro, Roberto, $d 1965-","no2009075032","88.2%","100","$a Spataro, Robert F.","n  85279377 "
"65","014261173","100","1 ","$a Surkov, Vladislav.","99.5%","400","$a Surkov, Vladislav I︠U︡rʹevich","n 2006096569","94.4%","100","$a Surkov, V. I︠U︡. $q (Vladislav I︠U︡rʹevich)","n 2006096569"
"66","014246568","100","1 ","$a Thomassin, Simon.","99.5%","100","$a Thomassin, Simon Henri, $d 1687-1741","nr2004028697","99.5%","400","$a Thomassin, Simon, $d 1652?-1732","n 2001128330"
"67","014220734","100","0 ","$a Thuan.","99.5%","100","$a Thuà̂n Bạch","nr2001041308","99.5%","100","$a Thuận Hải","nb2007022605"
"68","009678766","100","1 ","$a Vahabzadä, Bäxtiyar, $d 1925-","99.5%","100","$a Vahabzadä, Bäxtiyar, $d 1925-","n  85125204 ","99.5%","100","$a Vahabzadä, Bäxtiyar, $d 1925- $t Poems. $k Selections. $l Russian","no 89004255 "
"69","014171755","100","1 ","$a Valdez, Julio.","99.5%","100","$a Valdez, Julio, $d 1969-","n 2001010501","99.5%","400","$a Valdez, Julio Augusto de Peña, $d 1937-","n  88194200 "
"70","014162210","100","1 ","$a Valle, Maria Teresa.","99.5%","100","$a Valle, Maria Teresa del","n  91044025 ","99.5%","400","$a Valle, Maria Teresa La","n  86837076 "
"71","009550586","100","1 ","$a Vytvyt︠s︡ʹkyĭ, Stepan.","99.5%","100","$a Vytvyt︠s︡ʹkyĭ, Stepan, $d 1884-1965","no2007093711","95.7%","400","$a Vytvyt︠s︡ʹkyĭ, S. $q (Stepan), $d 1884-1965","no2007093711"
"72","014242179, 014242935","100","1 ","$a Weippert, John, $e composer.","99.5%","400","$a Weippert, John Erhardt","nr 94038296 ","99.5%","400","$a Weippert, John Michael, $d 1776-1831","no 99088755 "
"73","014244092","100","1 ","$a Yoon, Sung-Hee, $e author.","99.5%","400","$a Yoon, Sung Hee, $d 1947-","nr2002016029","86.7%","100","$a Yoon, Sun-Hee, $d 1970-","no2010003958"
"74","014263398, 014263411","700","1 ","$a Afanasʹev, Viktor.","99.5%","100","$a Afanasʹev, Viktor Fedorovich, $d 1917-1993","no 97021839 ","99.5%","100","$a Afanasʹev, Viktor, $d 1932-","n  83135472 "
"75","014239722","700","1 ","$a Auciello, Orlando, $e editor.","99.5%","100","$a Auciello, Orlando, $d 1945-","n  84008724 ","94.4%","400","$a Auciello, O. $q (Orlando), $d 1945-","n  84008724 "
"76","014124982","700","1 ","$a Ayala, Julio.","99.5%","100","$a Ayala, Julio Enrique","no2004122238","99.5%","400","$a Ayala, Julio Guillermo Meza, $d 1965-","n 2005072419"
"77","003626013","700","1 ","$a Ayscough, John.","99.5%","100","$a Ayscough, John, $d 1858-1928","n  90716441 ","99.5%","100","$a Ayscough, John, $d 1964-","nb2014023916"
"78","002987516","700","1 ","$a Baldwin, V., $e former owner. $5 hou","99.5%","100","$a Baldwin, V. C.","n  84047314 ","99.5%","100","$a Baldwin, V. H.","n  81113035 "
"79","013509592","700","1 ","$a Bazán, Maria. $4 act","99.5%","400","$a Bazán, María Eugenia Fuentes","n  82218125 ","92.9%","400","$a Bazán, Mateo García","n 2013073224"
"80","014012334","700","1 ","$a Becerra, Alejandro, $e author.","99.5%","400","$a Becerra, Alejandro Morales","n  96055490 ","99.5%","400","$a Becerra, Alejandro Treviño-","n  80026147 "
"81","014211197","700","1 ","$a Benz, Andreas, $e editor, $e author.","99.5%","100","$a Benz, Andreas, $d 1690-","nb2013015563","99.5%","100","$a Benz, Andreas, $d 1975-","no2013005423"
"82","013509592","700","1 ","$a Bermejo, Luis. $4 act","99.5%","100","$a Bermejo, Luis M., $d 1929-","n  86072802 ","99.5%","100","$a Bermejo, Luis, $d 1931-","no2013083944"
"83","014267286","700","1 ","$a Binyamin, Avi.","99.5%","400","$a Binyamin, Avi, $d 1959-","no2013088618","85.7%","100","$a Binyamin, Avraham","no 91015211 "
"84","009011399","700","1 ","$a Branston, Robert Edward, $e lithographer.","99.5%","100","$a Branston, Robert Edward, $d 1803?-1877","no2009149804","95.8%","400","$a Branston, R. $q (Robert Edward), $d 1803?-1877","no2009149804"
"85","012695091","700","1 ","$a Camargo, Roberto, $e actor.","99.5%","100","$a Camargo, Roberto Souza","no 99079713 ","99.5%","400","$a Camargo, Roberto Sousa","no 99079713 "
