"Old/New","Ctrl No (010)","Tag","Ind","Heading"
"New","$a n  88268148","100","1","$a Agai︠a︡n, P. T︠S︡. $q (Pavel T︠S︡aturovich)","","",""
"Old","$a n  89102128","100","1","$a Agnihotrī, Prabhudayālu, $d 1914-","","",""
"New","$a n  89102128","100","1","$a Agnihotrī, Prabhudayālu, $d 1914-2008","","",""
"Old","$a n 2003083023 $z n 2006005977","100","1","$a Aguila, Miguel del, $d 1957- $t Prestos, $m string quartet, $n no. 2","","",""
"New","$a n 2003083023 $z n 2006005977","100","1","$a Aguila, Miguel del, $d 1957- $t Prestos, $m violins (2), viola, cello, $n no. 2","","",""
"Old","$a n  84049656","100","1","$a Ahmad, Abdul Ghafoor","","",""
"New","$a n  84049656","100","1","$a Ahmad, Abdul Ghafoor, $d 1927-2012","","",""
"Old","$a n 2008200175","100","1","$a Ahmad, Ejaz, $c Draftsman","","",""
"New","$a n 2008200175","100","1","$a Ahmad, Ejaz $c (Draftsman)","","",""
"Old","$a n  89146488","100","1","$a Ahmad, Sultan, $c Advocate. $t Public Demands Recovery Act, 1913","","",""
"New","$a n  89146488","100","1","$a Ahmad, Sultan $c (Advocate). $t Public Demands Recovery Act, 1913","","",""
"Old","$a n  89146489","100","1","$a Ahmad, Sultan, $c Advocate","","",""
"New","$a n  89146489","100","1","$a Ahmad, Sultan $c (Advocate)","","",""
"Old","$a no 99076897","100","0","$a Ahmose, $c son of Ebana","","",""
"New","$a no 99076897","100","0","$a Ahmose $c (Son of Ebana)","","",""
"Old","$a no 98001037","100","10","$a Aho, Kalevi. $t Quartets, $m strings, $n no. 3","","",""
"New","$a no 98001037","100","10","$a Aho, Kalevi. $t Quartets, $m violins (2), viola, cello, $n no. 3","","",""
"Old","$a no2009031008","100","1","$a Aho, Kalevi. $t Quintets, $m winds","","",""
"New","$a no2009031008","100","1","$a Aho, Kalevi. $t Quintets, $m flute, oboe, clarinet, horn, bassoon","","",""
"Old","$a n  85036138","100","10","$a Ai͡upova, L. L.","","",""
"New","$a n  85036138","100","1","$a Ai︠u︡pova, L. L.","","",""
"Old","$a n  78073288","100","10","$a Akhmetʹi͡anov, R. G. $q (Rifkat Gazizi͡anovich)","","",""
"New","$a n  78073288","100","1","$a Akhmetʹi︠a︡nov, R. G. $q (Rifkat Gazizi︠a︡novich)","","",""
"Old","$a n  84218758","100","10","$a Akhunzi͡anov, Ė. M. $q (Ėnver Makhmudovich)","","",""
"New","$a n  84218758","100","1","$a Akhunzi︠a︡nov, Ė. M. $q (Ėnver Makhmudovich)","","",""
"Old","$a n  86149798","100","10","$a Akimova, Lidii͡a","","",""
"New","$a n  86149798","100","1","$a Akimova, Lidii︠a︡","","",""
"Old","$a n  85821298","100","10","$a Akopi͡an, V. T. $q (Vartges Torgomovich)","","",""
"New","$a n  85821298","100","1","$a Akopi︠a︡n, V. T. $q (Vartges Torgomovich)","","",""
"Old","$a n  85316448","100","10","$a Aksenov, I. I͡A. $q (Ivan I͡Akovlevich)","","",""
"New","$a n  85316448","100","1","$a Aksenov, I. I︠A︡. $q (Ivan I︠A︡kovlevich)","","",""
"Old","$a n  86087538","100","10","$a Aksenova, L. A. $q (Li͡udmila Aleksandrovna)","","",""
"New","$a n  86087538","100","1","$a Aksenova, L. A. $q (Li︠u︡dmila Aleksandrovna)","","",""
"Old","$a n  79080308","100","10","$a Akt͡sorin, V. A.","","",""
"New","$a n  79080308","100","1","$a Akt︠s︡orin, V. A.","","",""
"Old","$a n 2011209262","100","1","$a Alam, Shamsul $c (Of Bangladesh Planning Commission)","","",""
"New","$a n 2011209262","100","1","$a Alam, Shamsul $c (Government economist)","","",""
"Old","$a n  84175780","100","10","$a Albrecht, Gerd, $d 1933-","","",""
"New","$a n  84175780","100","1","$a Albrecht, Gerd, $d 1933-2008","","",""
"Old","$a n 2010035595","100","1","$a Albrechtsberger, Johann Georg, $d 1736-1809. $t Quartets, $m strings, $n op. 7. $n No. 4-6","","",""
