"Row No","Bib No","Tag","Ind","Field Data"
"1","014170623","245","10","$a A esta altura de la bajeza : $b humor / $c Fernando Josseau.","","",""
"2","014208087","245","10","$a A l'oeil nu / $c Alice Roland.","","",""
"3","013643653","245","10","$a A la memoria de los caídos en la Guerra del Atlántico Sur : $b Islas Malvinas = Falkland Islands / $c Enrique Blajean Bent.","","",""
"4","014170711","245","10","$a A la puta calle : $b crónica de un desahucio / $c Cristina Fallarás.","","",""
"5","014249360","245","10","$a A morte il prete : $b la tragedia di 5 religiosi apuani tra partigiani e nazisti / $c Simone Ziviani.","","",""
"6","014204459","245","00","$a A partir de cero.","","",""
"7","014236910","245","10","$a A pochi pensieri dalla riva / $c Gianluca D'Annibali.","","",""
"8","014110748","245","10","$a A rebato / $c Emilio Jurado Naón.","","",""
"9","014242182","245","10","$a A ta place : $b roman / $c Khaoula Hosni.","","",""
"10","000414887","245","10","$a An meine Landsleute / $c Bertolt Brecht.","","",""
"11","014246601","246","30","$a A discourse of forest-trees, and the propagation of timber in His Majesty's dominions ...","","",""
"12","014246606","246","30","$a A discourse of forest-trees, and the propagation of timber in His Majesty's dominions ...","","",""
"13","014246607","246","30","$a A discourse of forest-trees, and the propagation of timber in His Majesty's dominions ...","","",""
"14","014246608","246","30","$a A discourse of forest-trees, and the propagation of timber in His Majesty's dominions ...","","",""
"15","014246609","246","30","$a A discourse of forest-trees, and the propagation of timber in His Majesty's dominions, ...","","",""
"16","013643653","246","18","$a A la memoria","","",""
"17","014262164","246","3","$a An Act to Amend the Chesapeake and Ohio Canal Development Act to Extend the Chesapeake and Ohio Canal National Historical Park Commission","","",""
"18","014253568","246","33","$a An Indian tradition : $b no fiction : the traditionary history of a narrow and providential escape of some white men from being tomahawked, scalped, and robbed by a party of Taw-way Indians","","",""
"19","012467867","600","14","$a Dean, John, $d 1679-1761. $t A narrative of the ship-wreck of the Nottingham Galley.","","",""
"20","012809911","700","12","$i Container of (work): $a Orejón y Aparicio, José de, $d 1706-1765. $t A del agua y del aire.","","",""
"21","012809911","700","12","$i Container of (work): $a Orejón y Aparicio, José de, $d 1706-1765. $t A mecer de un Dios la cuna.","","",""
"22","014253539","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An den Frühling, $n D. 283.","","",""
"23","014253540","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Freunde.","","",""
"24","014253545","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Geliebte.","","",""
"25","014253545","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Laute.","","",""
"26","014253543","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Leier.","","",""
"27","014253548","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Leier.","","",""
"28","014253539","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Musik.","","",""
"29","014253546","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Musik.","","",""
"30","014253547","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Musik.","","",""
"31","014253535","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Nachtigall, $n D. 497.","","",""
"32","014253545","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An die Nachtigall, $n D. 497.","","",""
"33","014253535","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An mein Herz.","","",""
"34","014253537","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An mein Klavier.","","",""
"35","014253533","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An Schwager Kronos.","","",""
"36","014253535","700","12","$i Contains (work): $a Schubert, Franz, $d 1797-1828. $t An Sylvia.","","",""
"37","014201761","700","12","$a Subhūticandra. $t A critical study of the Amarakośa with the Kāmadhenu (Sanskrit and Tibetan)","","",""
"38","014216551","740","02","$a A wanted man.","","",""
"39","014082418","830","0","$a Misura d'uomo (Rome, Italy). $p Sezione di psicologia del lavoro ; $v 4.","","",""
