"Row No","Bib No","Tag","Ind","Field Data"
"1","009718493","650","04","$a Azerbaidzhan.","","",""
"2","014020647","650","0","$a Independence movements.","","",""
"3","014202656","650","0","$a Photographs from space.","","",""
"4","014164013","650","04","$a Religious art.","","",""
"5","014253422","710","2","$a Al Hirschfeld Theater (New York, N.Y.)","","",""
"6","014266391","710","2","$a Criterion Theatre (New York, N.Y.)","","",""
"7","010888761","710","2","$a Edison Theatre (New York, N.Y.)","","",""
"8","007258660","710","2","$a Palazzo Giustiniani (Rome, Italy)","","",""
"9","009011661","710","2","$a Saint James' Theatre (London, England)","","",""
"10","014220556","710","2","$a Schloss Herrenchiemsee (Herrenchiemsee, Chiemsee, Germany)","","",""
"11","014134303","710","2","$a Villa medicea (Cerreto Guidi, Italy), $e host institution.","","",""
"12","014253448","710","2","$a Winter Garden Theatre (New York, N.Y. : 1634 Broadway)","","",""
"13","014250368","800","1","$a Hasse, Johann Adolf, $d 1699-1783. $t Works. $k Selections (Carus) ; $v Abt. 4, Bd. 3.","","",""
"14","014143935","800","1","$a Masaryk, T. G. $q (Tomáš Garrigue), $d 1850-1937. $t Works. $f 1993 ; $v sv. 26.","","",""
